id,body,owner_id
118011,"After performing ridge and lasso regression for the assignment, I am getting these two graphs for R-squared scoring type: For Ridge Regression: For Lasso Regression: I just wanted to ask if these graphs are okay to go ahead with and also I got ridge and lasso train and test scores as follows Ridge regression train score: 0.8887 Ridge regression test score: 0.8685 Lasso regression train score: 0.9029 Lasso regression test score: 0.8576 Are these scores optimal enough ?",301655
118243,nan,312093
118332,"I understand the difference between MAE and MSE/RMSE, but in what cases should we use MAE over MSE and vice-versa.",318438
118299,nan,303228
118462,"Does Advanced regression asisgnment is similar to linear regression except just finding lamda value for ridge and lasso Does assignment checks for generalized regression, I am not able to find as part of statement.",309212
118249,nan,318335
118080,Soppose I have 10 independent variables out of which 8-9 are showing linear relationship with dependent variable. 1-2 showing complex ex quadratic or sin or cosine relationship. Then should we consider polynomial or simple linear regression for the model ?,315679
118258,"How do you handle categorical variable cases like in the current assignment of Condition 1 and Condition 2 or Exterior 1 st and Exterior 2 nd . Generally, such categorical variables will have large subcategories duplicated in both options. If one dummies both these variables, will lead to large set of variables. Will the current model be able to identify the better predictor of Price? As the option will be split between two columns. Any way to handle such categorical variables?",317514
118273,I am seeing difference of 5-10% between train and test R-sqaured (test being lower) after finding the optimal alpha value for lasso and ridge. Is it expected from current dataset or is there something else that I can do.,318329
118570,If we need to perform scaling on dependent variable also while creating models ? Is it necessary to perform..what implications it has ?,305650
118277,nan,304319
117882,"Problem statement states that ""build a regression model using regularization"" So do we have to build model using both Ridge and Lasso regression ? If yes then - We know that Lasso Regression do feature selection, so we don't face problem while doing this. - But in Ridge regression there is no feature selection takes place, so do we have to perform RFE after Ridge regression ?",317991
117899,Is there a thumb rule on how to select the best lambda (or hyperparameter) values ? OR can any random value be chosen and then we have to fine-tune the same?,309211
118644,Generally we do scaling for only numeric features right? But in advanced regression we r doing scaling for all categorical and numeric features this is what I observed in the coding Correct me if am wrong... Why is ds so?,308437
118292,nan,318335
118175,"Advanced Regression assignment: Do we need to remove outliers? If yes, after creating dummies?",303666
117849,"In lasso and ridge, We check the linearity of the coefficients/weights/ model paramenters with the output variable. We do not check the linearity of output variable with the features/fields/columns. Hence multicollinearity/VIF check are not required for lasso and ridge Please confirm if this is correct.",310467
118302,nan,314197
117853,nan,304319
117854,RMSE for both ridge and lasso is coming to the tune of 10000. Is it ok? how can I reduce it? What should be the values of AIC and BIC?,304319
120162,nan,318481
117489,how to find the column names which have alues Yes or No. Because too many variables to see manually,312019
118820,"for ridge and lasso regression we select range of alpha and then chose optimal value of alpha for which we get coefficients. 1. how to select range of alpha? what is the guideline? 2. how to chose optimal value of alpha? if i keep increasing value of alpha for lasso, the no of coefficients with zero keep increasing, so when to stop?",308437
117868,nan,300721
117185,Regarding Advaced Regression Assignment Finding suitable features for the price of the house Its Multiple Linear Regression Then try with Regularization methods Ridge and Lasso Is its correct ? Or directly after data prepartion we can go into ridge and lasso ?,312019
117495,can we use other tlibrary rather than h2o?,320689
118154,"Hi, What is the impact of skewed data (both dependent and independent) on the overall model accuracy/stability? If you look at the pairplot of the features, lot of them are skewed. Shouldn't they be addressed? 1) What are the common transformations? 2) If we transform the training dataset, should the same tranformation be applied to the test dataset? Or should be ensure that the test dataset is actually skewed before applying the transformation?",318438
118271,"In the advanced regression notebook given for practice (Car Price Prediction) during the lecture videos, the dependent variable &#39;Price&#39; hasn&#39;t been scaled. Is there any particular reason for this? Do we follow the same for the assignment? I&#39;m facing the issue of all the coefficients of the lasso regression model being clamped down to 0 when the dependent variable &#39;Sale Price&#39; is scaled, i.e., no variable turns out to be significant. But there is no such issue without scaling the dependent variable. What must be followed? Please guide.",310505
118291,nan,317460
118333,"In earlier regression model we used statsmodel api, where the metrics like r2, adjusted_R2, AIC, BIC are calculated by package itself. Now do we need to calculate adjusted_R2, AIC, BIC metrics for Lasso and Ridge regression ? TA's can you please confirm.",317991
118361,"As you have determined the optimal value of lambda for ridge and lasso regression during the assignment, which one would you choose to apply and why? What the statement ""which one would you choose to apply and why?"" means?",320103
117878,"I went through lecture videos again and stuck at this. Scikitlearn statsmodeler uses OLS (ordinary least squares) for linear regression ; not sure how to arrive at AIC, BIC and adjusted R2 for Lasso or ridge regression",309211
117881,Do we need to convert datetime data to ordinal data ?,313826
117512,Lasso and Ridge regression shrink the magnitude of the coefficient. While Scaling also effects the magnitude of the coefficient of Features. does it increase or Reduce the coefficients?,317984
118028,"Instead of doing outlier treatment individually for one column, is there any way to implement outlier treatment for all columns at once, as in currrent assignment, no. of outlier treatment are many(are around 20)",318429
117891,,318723
117892,Multicolinearity validation using VIF on lasso model shows high VIF for some variables. Shouldnt lasso take care of this automatically ?,316211
118219,"I have multiple Queries? 1. How to tacke below years &amp; month columns YearBuilt, YearRemodAdd MoSold YrSold 2. Can we remove MoSold (month sold) column and what is the role of this column. I am thinking of removing it.",306243
118360,"Question-5: As you have determined the optimal value of lambda for ridge and lasso regression during the assignment, which one would you choose to apply and why? What the statement &quot;which one would you choose to apply and why?&quot; means?",320103
117895,"Shape of the dataset is 1460/81. While performing EDA I dropped 5 columns having more than 30 % missing values, after that when I checked on rows missing value percentage I found it to be 1% of the rows, I am not willing to remove these rows as I am having just 1460 rows to design model. Shall I proceed with imputation for those rows?",300721
117896,I still don't have correct response to AIC/BIC derivation from https://learn.upgrad.com/v/course/208/question/117878 as I want to understand how much my model is penalized. I do understand Lasso/Ridge are just used to generalize by applying hyperparameter. What I want to know is which python package can I use to derive AIC/BIC and adjusted R square values?,309211
118643,I am trying to run lasso algo. It is taking too much time to execute and not getting output. System hang What could be d reason pls help,308437
117900,Is there a thumb rule on how to select the best lambda (or hyperparameter) values ? OR can any random value be chosen and then we have to fine-tune the same?,309211
117918,How is the optimum value of K decided in k-fold cross validation ?,309211
119240,nan,308495
117603,"If i use ridge or lasso, we wont do any rfe to elimiate features. How to select best features when we apply ridge or lasso. when i use list(zip(cols, model_parameters)) , it gives all features which we made with training set.",312019
118031,"I want to find out the adjusted rquare value after doing lasso regression on test dataset. Since k denotes the number of predictor variables, will it be equal to the number of features(columns) in xtest ? or will it be equal to the number of non-zero columns obtained after after doing lasso regression.",318756
118131,"For the assignment, is outlier removal required ? Because performing Lasso without outlier removal and also with outlier removal has significant impact on performance measures on test data. TA's please confirm",317991
118410,List at least 4 differences in detail between L1 and L2 regularization in regression.,320606
117888,"How to determine whether to go for StandardScaler, Minmaxscaler or which function to use to scale values?",309211
118473,i got around 670 features after dummy variable encoding. am i going in the right direction?,308437
118293,"There are around 18% null values in LotFrontage column. How to handle this ? I know we can perform any one of the following 1. Remove rows having null values 2. Impute values with mean, median or mode 3. Drop column I did first one and found that Train and test scores are quite close. - but concern is the dataset is small so should we drop 18% rows.? When I tried 2nd method of imputing test score drops by 5%. 18% null values is not that much to drop a column. So now which method to pick. ? TA's please help",317991
117731,"We would need to convert the year columns into numeric values like age. In case of GarageYrBlt, since there are datapoints with no garage and the col GarageYrBlt contains 'NA', how do we find out the GarageAge for such datapoints? Should we replace them with -1? Will the scaling get affected then?",304319
118354,I am getting an error &#39; Must pass DataFrame with boolean values only&#39; when doing scaling...tried both MinMax and Standardscaler but error is the same. How to resolve this?,310509
119355,nan,308495
90603,How to access the Live session for Python DS assignment question answer session?,301644
90026,nan,318082
92342,"I have a 32Bit OS and there is no Server Versio 8.0 available for 32bit. On Version 5.7, there is no Window Function available. What should I do. Please do not suggest to install 64bit OS.",318009
93232,"I am not able to understand the method of writing syntax for updating table commands and windowing functions. Till now while writing code we didn't put a comma at the end of each line and just used a semicolon at the end, but in cases like for date manipulation and other updating table commands and window functions we need to put a comma at the end of every line. so when should we insert comma at the end and when not to. and what is the significance of this?? for eg: select ssn, concat(fname, ' ', lname) as emp_name, dno, salary, sum(salary) over () as total_salary, sum(salary) over (partition by dno) as dep_salary from employee order by dno;",317558
92390,"select ssn, concat(fname , &#39; &#39; ,lname) as emp_name , dno , pay , sum(pay) over (partition by dno order by ssn rows unbounded preceeding ) as cummulative_total , sum(pay) over (partition by dno order by ssn rows between 1 preceeding and 1 following) as one_above_and_one_below from employee; The select is showing an error : is not valid at this position for this server version , expecting : &#39;(&#39;, WITH How do I solve this issue??",306729
91846,"Hi All, I am trying below query to get the row number. select e.ssn, e.salary,ROW_NUMBER() OVER ( order by e.salary ) as &#39;row_number&#39; from employee as e; I get an error as &quot;Error Code: 1064. You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near &#39;( order by e.salary ) as &#39;row_number&#39; from employee as e&#39; at line 1 0.00017 sec&quot; Any suggetion to reolve this?",311741
91470,"#select Dno,fname,salary,rank() over e as ranking,dense_rank() over e as denserank, #salary,sum(salary) over w as cumilativesalary,avg(salary) over w as avgsalarydeptwise from employee window w as (partition by dno order by dno) window e as (partition by dno order by salary); Howeverthis is throwing error ?",303674
92080,"Hi All, I am running some query wherein i am trying to insert a result of window function into another table. I but i am getting an error as ""Error Code: 1264. Out of range value for column 'tmp_field_1' at row 1"" INSERT INTO table_1 (Date, Close_Price, 20_Day_MA, 50_Day_MA) SELECT Trade_Date,Close_Price,TRUNCATE(avg(Close_Price) over(ORDER BY Trade_Date ROWS 19 PRECEDING),2) as 20_DMA, TRUNCATE(avg(Close_Price) over(ORDER BY Trade_Date ROWS 49 PRECEDING),2) as 50_DMA from assignment.table_2; Any suggestions ?",311741
91541,nan,319006
89830,"Didn&#39;t understand query mentioned below very properly. Can someone help? select ssn, concat(fname, &#39; &#39;, lname) as emp_name, dno, salary, first_value(salary) over (partition by dno order by ssn rows unbounded preceding) as first_val, nth_value(salary,2) over (partition by dno order by ssn rows unbounded preceding) as second_val from employee; Also, unable to imagine any use cases of the same. Pls. suggest some.",311686
91567,"Is it possible to pass a table as an input to a Stored Procedure? If so, how do we access the column names of that passed table inside the stored procedure. Any pointers to this is highly appreciated. If you have come across any useful links, please share.",318084
94059,nan,315436
91693,nan,310009
92111,I wanted to pratice window function but I don&#39;t have dataset like Company table or employee table. Has professor shared with us any data set related to SQL ?,315423
91246,"select ssn, concat(fname, &#39; &#39;, lname) as emp_name, dno, salary , sum(salary) over () as total_salary, sum(salary) over (partition by dno) as dep_salary from company_db.employee order by dno; Throwing the error as07:43:39 select ssn, concat(fname, &#39; &#39;, lname) as emp_name, dno, salary , sum(salary) over () as total_salary, sum(salary) over (partition by dno) as dep_salary from company_db.employee order by dno Error Code: 1064. You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near &#39;() as total_salary, sum(salary) over (partition by dno) as dep_salary from com&#39; at line 3 0.000 sec",318846
91879,"For ex : Roll no ,total marks for student table given Roll total marks 1 50 ------------- &gt; calculated as abs(50-60)+abs(50-70)==30 2 60 -------------&gt; calculated as absabs(60-50)+abs(60-70)==20 3 70 -------------&gt; calculated as absabs(70-50)+abs(70-60)==30 and we have to calculate sum of (absolute difference of total marks with respect to other students)for every student . Note: how to exclude current row from calculation in window function",318005
92777,"I am using Ubuntu 16.04 -64 bit . I recently updated MYSQL version 8 from version 5 as I was unable to use window functions. My workbench is still sql version 6.3.6(version 8 not being unavailable for my OS).Hence , while using workbench I am facing the error :Incompatible/nonstandard server version or connection protocol deleted.",318324
91978,nan,301890
91986,nan,301890
91248,If anyone installed mysql8.0..please provide the right link to install the 8.0version. With the current version onlt the Windows_function&#39;s are working. Can we upgrade the existing version 6.3 to 8.0 ?...If anyone istalled please provide the right link.,318846
91881,&quot;DECLARE @hno int;&quot; gives an syntax error - where did i go wrong?,319759
92340,"While executing the Window Functions, getting the below error. SELECT hno, avg(salary) over (order by salary) from employee; Error Code: 1064. You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'SELECT hno, avg(salary) over (order by salary) from employee' at line 2 0.000 sec Please advise. Unable to proceed with the assignments",318804
92067,"select ssn, concat(fname, ' ', lname) as emp_name, dno, salary , sum(salary) over () as total_salary, sum(salary) over (partition by dno) as dep_salary from employee order by dno; Throwing the error as07:43:39 select ssn, concat(fname, ' ', lname) as emp_name, dno, salary , sum(salary) over () as total_salary, sum(salary) over (partition by dno) as dep_salary from employee order by dno Error Code: 1064. You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '() as total_salary, sum(salary) over (partition by dno) as dep_salary from com' at line 3 0.000 sec Even though i have latest version of mysql i.e 8.0",310611
92594,I am unable to run queries using Windows function in MYSQL.,318791
92615,nan,310385
93286,nan,314629
93197,"I have MySQL workbench 6.0. I am getting error message while running the query. Error message ""Error Code: 1064. You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version""",303227
93358,Link for image: https://drive.google.com/file/d/1QarPXdj5L2jgeNUgCP641xuLbedclweO/view?usp=sharing,320687
94708,Here's the link to understand everything about SQL Window Functions and its types. https://www.sqlshack.com/use-window-functions-sql-server/,312953
91690,"In the below query which is used in the lecture to create UDF -Project_Pay_calc, what is the purpose of end if ? begin declare project_pay_per_hour float(8,2); if (pno &gt; 0 and pno &lt;=5 ) then set project_pay_per_hour = 1000; elseif (pno &gt; 5 and pno &lt;= 10) then set project_pay_per_hour = 2000; else set project_pay_per_hour = 3000; end if ; return (project_pay_per_hour * num_of_hours); end",312507
91899,DECLARE @hno INTEGER; Throws syntax error. How to correct it,319759
90061,how to concat and reurn/print varchar in stored procedure in MySQL,317993
91428,"In the given example in this section , When creating a custom function . Wher we are adding &quot;return char(50) deterministic&quot; right after create function statement . In the given function we are passing a string of size char(20) whereas in the next statement we are declaring char(50) with deterministic statement . So, what is the reason behind declaring char(50) in the next statement ?",301108
91450,nan,318429
91507,what is the issue in this code ? suppose if i remove the delimiter after end the storedproceure get saved but then when i call stored procedure it throws an error - Unknown column snn in where clause,303674
91526,Please advise where am i going wrong,300687
93005,"For UDF, I am getting the same result 889 times? What could be the possible mistake ?",308673
91549,"Hello , Can somebody please help me , why there are two returns in below code and why there is a diffirence in input and output datatype ? create function hello (s char(20)) returns char(50) deterministic return concat(&#39;Hello, &#39;, s, &#39;!&#39;); Thanks in Advance ! Deva",306147
91565,"What does &quot; a;&quot; at the end of the query means ? in below code ( select essn, project_pay_calc(pno, hours) as per_project_pay from works_on where essn = n ) a;",306147
92105,"When tried to re-run the user defined function, the below error is displayed. Can anyone please help why this error is coming and how to avoid it.",314730
91667,"why is @ sign required when calling the stored procedure, when it has already been defined as ouput field?",310509
91666,Why is output not received when calling employee details stored procedure ( it required another select command to be run ) whereas ouput is received when employee salary stored procedure is called? what&#39;s the difference between the 2 commands?,310509
91975,What is the purpose of using this keyword while creating UDF&#39;s?,316147
91745,nan,315757
91747,nan,315757
92226,nan,308432
91317,"Hello Can anyone tell me what is the use of Deterministic, why we have to use, what happens if we don&#39;t use it. Thank you Best Regards. Girish",301113
91822,"Hi, If we have cretaed a UDF and server is closed and started, can we use the UDF creted or do we need to recreate it.? Thanks",317410
92065,"Why do we need to add char(20), does it mean the name should not exceed 20 characters? and also why char(50) (i understood that the output should be greater than char(20) but why not char(40))? I didn&#39;t get the concept of using char and varchar. Please help me in this aspect.",308640
93103,Why should we again give select after calling the procedure? Is it because within the definition we just said select INTO and not select as?,318079
92609,nan,320688
92570,nan,316323
92780,"select concat(""kumar"",""avishek""); gives Kumar avishek but select sum(7,8); gives error",300684
92975,"select sum(per_project_pay) into all_project_pay from ( select essn, project_pay_calc(pno, hours) as per_project_pay from works_on where essn = n ) a; end $$ delimiter ;",318334
91648,"Are dynamic queries not supported in MySQL? I tried to write a function which creates a query based on the inputs and then prepares,executes. But getting error saying that dynamic sql not allowed. I wrote a procedure which accepts the same inputs , generates the query and executes. However,cannot call the procedure in a select query. So, I wrote a wrapper function to call the stored procedure and then tried to call the wrapper function in select query. Failed with the same error again.",313826
93338,nan,306008
93340,nan,320687
93407,"In Q4 of assignment, the UDF is returning NULL value. There is no syntax error on UDF or call query; Where is the assigning or logic going wrong? Cannot share code as it is graded question, so any suggestions to debug will help.",301644
93354,"what should be the code for problem Write a SQL query to convert the hello function (used in the previous section) to a stored procedure. The hello function for reference : create function hello (s char(20)) returns char(50) deterministic return concat(&#39;Hello, &#39;, s, &#39;!&#39;);",317558
91974,Can someone explain the difference between these two? All I know is user defined as prefixed by @ and local arent. What is the scope of these two variables?,316147
93512,"select concat(&#39;Hello, &#39;-----------------; end $$ writing delimiter at the end is throwing error. Is there a problem or unrequired statement I am using.",318372
92329,nan,320689
90766,nan,300690
91086,Can anybody explain this in detail. How it actually works at the backend?,305845
94000,"what if we write the below given query select fname, ssn, essn, dependent_name, relationship from ( select fname, ssn, dno from employee ) e inner join ( select essn, dependent_name, relationship from dependent ) d on e.ssn = d.essn and e.dno=4 and d.relationship= &#39;Spouse&#39;; as below. select fname, ssn, essn, dependent_name, relationship from employee e inner join dependent d on e.ssn = d.essn and e.dno=4 and d.relationship= &#39;Spouse&#39;; It returns the same output and i think its optimized. any suggestion on this?",322683
90767,nan,300690
91892,"-- check for uniqueness select ssn, count(distinct dno) as dis_dno from employee group by 1 having count(distinct dno) &gt;1;",318335
92554,"In Join optimization, I am not clear how combing conditions on where clause ogether into inner join&#39;s &quot;on&quot; will optimize. By removing the inner where clause, won&#39;t the inner queries return too many rows, instead of fewer rows? Does this have anything to do with order of execution? select fname, ssn, essn, dependent_name, relationship from ( select fname, ssn, dno from employee ) e inner join ( select essn, dependent_name, relationship from dependent ) d on e.ssn = d.essn and e.dno=4 and d.relationship= &#39;Spouse&#39;;",320074
92620,"In the optimised query in the lecture select fname, ssn, essn, dependent_name, relationship from ( select fname, ssn, dno from employee ) e inner join ( select essn, dependent_name, relationship from dependent ) d on e.ssn = d.essn and e.dno=4 and d.relationship= &#39;Spouse&#39;; What the difference If I use - where e.dno=4 and d.relationship= &#39;Spouse&#39; as in on e.ssn = d.essn where e.dno=4 and d.relationship= &#39;Spouse&#39;; Is there any performance benifit in the former?",318576
92435,"Intro to SQL instructed us to create a database with label ""companydb"". The SQL file required to download in Adding or Deleting Columns has the first lines as use companydb_pp; SET SQL_SAFE_UPDATES = 0; Is it OK to edit the line from use companydb_pp; to the database use companydb; in the file?",315022
91418,ALTER TABLE `DS_SEP_18`.`employee` ADD COLUMN `des` VARCHAR(45) NULL DEFAULT 'manager' AFTER `dno`; error: Error Code: 3664. Failed to set SDI 'DS_SEP_18.dependent' in tablespace 'ds_sep_18/dependent'.,312491
92355,"Hello Friends, In this section, there are no files provided for installation of the Company DB in MySQL database for learning and testing purposes? Kindly advise how are you all running the SQL Queries? Apologies if I have overlooked any steps of downloading the SQL Files to install the schema. Thanks Suddhasatwa",310217
92358,"Considering the companydb database, how do I assign a foreign key for a column of the employee table if the reference of the key is present in another table ?",313691
91025,what does this mean? here we say add fk_super_ssn as foreign key y r we mentioning super_ssn in ()?? also what does references employee (ssn) imply?,308437
91576,,318335
92075,"How to get the second last word in a column ? Ex: in address column of emplyee table ,address is stored as &quot; 638 Fondren, Houston, TX &quot;. But I want to get &quot;Houston&quot;. I dont want to do string split twce,",317073
91495,"In the video example - the line of code used to add ( &#39;add des&#39; ) a column did not specify for a column to be added, whereas the code to drop had &#39;drop column&#39; specified. Why do we have to specify while dropping the column and not while adding?",319302
91314,"In the question, when I run the first set of alter table command i.e., Alter table works_on Drop primary key; I get the following error: ""Error Code: 1553. Cannot drop index 'PRIMARY': needed in a foreign key constraint"". And the primary key constraints(essn and pno) are intact. None of the options mentioned in the mcq have the correct answer. However, looks like the answer is expecting that primary key as well as foreign key constraints would be dropped. Looks like there is a mistake in the question? AFAIK, you cannot drop the primary key before dropping the foreign keys referencing it. Am I missing something??",313826
91525,nan,304398
91536,"like if i want ot convert 18-OCTOBER-2018(TEXT) TO 2018-10-18 (DATE) I HAVE TRIES STR_TODATE ,CAST CONVET AND GETTING NULL",317982
93016,nan,310503
91535,"is it possible to implicitly assign foreign keys while using join functions, in case a foreign key is not explicity set for a table? will SQL assume that the join function &quot;intends&quot; to assign a foreign key in that way?",310509
91575,Tried dropping primary and foreign keys from works_on table but Error no 150 appeared saying Foreign Key constraint incorrectly formed.. pls help,319869
92858,"for Creating Table from an existing table i am using syntax create table emp as select fname, minit, lname, ssn, bdate from employee; but the output is not getting executed. what should be correct code for this??",317558
92860,can anyone explain me below mentioned syntax as i am not really clear about it,317558
92401,#adding a foreign key alter table employee add constraint fk_super_ssn foreign key ( super_ssn ) references employee( ssn );,305655
91697,nan,306996
91956,"In the above example, I did not mention the ';' in the first query statement and I am able to execute it successfully. Now I added another query statement which also executed succesfully even though the below error is shown. 'alter' is not valid at this position, expecting: EOF, ';' Does this mean that ';' is not mandatory to execute a query statement. Also, I would like to know how the statement with EOF error is executed successfully.",314730
91335,I&#39;m unable to load the Company_DB in the MySQL database. can someone please share the steps to do this? I can see the queries in the pane however I dont see table showing anything,306011
92123,With the example provided in the session #adding a foreign key alter table employee add constraint fk_super_ssn foreign key (super_ssn) references employee(ssn); employee table has 2 columns employee.ssn &amp; employee.super_ssn. Is it possible to alter the column employee.ssn or employee.super_ssn without having an impact of foreign key constraint ?,310518
92131,"MySQL is not importing the CSV files for stock exhange assignment as i am trying to do it manually using the import feature. it imports 0 rows if i mentioned the data type for &#39;Date&#39; column as &#39;Datetime&#39;. if i consider the data type as text only then it imports the rows, but the purpose is defeated as the data value are taken as text and later i am unable to change it to date using alter command. Anyone else facing this issue? ned to understand what are the guidelines for importing the CSV files into the schema as i dont think it mentioned in the assignment details.",316036
91786,nan,308432
91240,nan,308782
91123,"Select * from employee Order by extract(year from bdate) desc; This gives the employee details with the youngest last , not first right?",300717
91019,nan,308437
91855,nan,303673
91321,,305335
92178,nan,311857
91254,"create table recipes( recipe_id int not null, recipe_name varchar(30) not null, nothing int not null, primary_key(recipe_name), unique(recipe_id) ); In aove query there is an error - Error code 1064-- Error in SQL syntax. Can you please check and suggest?",300698
92051,SET SQL_SAFE_UPDATES = 0;,308634
91242,,308782
91895,"update employee set des = &#39;dummy1&#39; where ssn = 123456789; 16:17:39 update employee set des = &#39;dummy1&#39; where ssn = 123456789 Error Code: 1175. You are using safe update mode and you tried to update a table without a WHERE that uses a KEY column To disable safe mode, toggle the option in Preferences -&gt; SQL Editor and reconnect. 0.000 sec",318474
91568,"This was sample query in the content Can anyone explain &quot; ssn as `select`&quot; part create table e3 as select name as `Full Name`, bdate as `Birth Date`, ssn as `Select` from e2 ;",319869
92743,nan,318079
92516,,310504
93162,"When I execute drop primary key for the recipes table in the lecture, and further execute the describe command, I am getting recipe_id column automatically selected as the primary key. Is this expected?",310533
